concept	aliases	source_examples	target_article	coverage_status	notes
TCP 消息边界	TCP 粘包|半包|Length Prefix	课程记录/游戏网络/01-局域网与Mirror.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	字节流组帧
网络时钟偏移	NTP|时钟偏移	课程记录/Games104/20-网络协议、时钟与RPC.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	双向时间戳估计
控制面与数据面	HTTP/HTTPS|控制面|实时数据面	课程记录/Games104/20-网络协议、时钟与RPC.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	不同流量的协议职责
Mirror 同步接口	Mirror|SyncVar	课程记录/游戏网络/01-局域网与Mirror.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	引擎框架集成边界
最大子数组与矩阵链	最大子数组|Kadane|矩阵链乘法	课程记录/数据结构和算法/04-动态规划与贪心.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	线性和区间动态规划
Bellman-Ford	Bellman-Ford|负权环	课程记录/数据结构和算法/06-进阶图算法与最短路径.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	负权边和环检测
Floyd-Warshall 与传递闭包	Floyd-Warshall|传递闭包	课程记录/数据结构和算法/06-进阶图算法与最短路径.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	所有点对距离与可达性
连通分量与边分类	连通分量|Back Edge|Cross Edge	课程记录/数据结构和算法/06-进阶图算法与最短路径.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	图遍历结构
Cache 映射	Direct-mapped|Set-associative|Fully-associative	课程记录/C++基础/05-存储层级与缓存.md	知识库/16_编程与数据结构/内存、对象生命周期与对象池.md	已覆盖	Set、Way 和冲突
Cache 写与替换	Write-through|Write-back|Replacement Policy	课程记录/C++基础/05-存储层级与缓存.md	知识库/16_编程与数据结构/内存、对象生命周期与对象池.md	已覆盖	脏数据与驱逐
Win32 消息循环	WndProc|WPARAM|LPARAM	课程记录/图形工程/01-Windows、Win32与COM基础.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md	已覆盖	消息分发和参数解释
COM	COM|QueryInterface|AddRef|Release	课程记录/图形工程/01-Windows、Win32与COM基础.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md	已覆盖	接口查询与引用计数
C++ 类型与布局	STL|模板|Struct|Union|Padding	课程记录/C++基础/03-面向对象与内存结构.md；课程记录/C++基础/04-继承、多态与模板.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md	已覆盖	多态、对齐和边界数据
二维动画	Live2D	课程记录/Games104/08-动画技术与旋转基础.md	知识库/09_动画系统/动画压缩、面部、布料与毛发.md	已覆盖	二维网格变形与合成
Motion Matching	Motion Matching	课程记录/Games104/08-动画技术与旋转基础.md	知识库/09_动画系统/动画状态、混合与IK.md	已覆盖	特征检索、代价与连续性
Blend Space 三角化	Delaunay Triangulation|重心坐标	课程记录/Games104/10-动画树、IK与表情.md	知识库/09_动画系统/动画状态、混合与IK.md	已覆盖	不规则二维样本混合
Merlin 关键帧抽取	Merlin|关键帧抽取	课程记录/Games104/09-蒙皮矩阵与动画压缩.md	知识库/09_动画系统/动画压缩、面部、布料与毛发.md	已覆盖	误差阈值与非均匀 Key
物理库集成	Jolt|PhysX	课程记录/Games104/11-高级物理系统.md	知识库/18_游戏物理与模拟/角色、布料、破坏与载具物理.md	已覆盖	选型、适配和测试
搓招输入识别	搓招识别|Input Buffer|有序模式	课程记录/ACT/02-输入层设计.md	知识库/19_Gameplay与游戏框架/输入、动作状态与框架分层.md	已覆盖	输入序列到语义命令
PCG 稳定重建	Procedural Content Generation|PCG|局部重建|Override	课程记录/Games104/14-世界编辑器、插件与反射.md	知识库/08_几何与网格/LOD、地形与程序化资产.md	已覆盖	确定性、分块和人工覆盖
