source_path	target_article	coverage_status	notes
课程记录/图形学/03-图形API、渲染管线与优化.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md；知识库/13_引擎架构与资源系统/Forward、Deferred与Clustered渲染.md；知识库/14_性能分析与优化/帧时间、瓶颈与GPU成本.md	已覆盖	API 与优化
课程记录/图形学/04-帧流程与分析工具.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md；知识库/14_性能分析与优化/Profiler、RenderDoc与单帧分析.md	已覆盖	帧分析
课程记录/图形学/05-前向、延迟与阴影.md	知识库/13_引擎架构与资源系统/Forward、Deferred与Clustered渲染.md；知识库/05_光照阴影与GI/阴影贴图、PCF与PCSS.md	已覆盖	渲染路径与阴影
课程记录/图形学/06-渲染帧分析实践.md	知识库/14_性能分析与优化/Profiler、RenderDoc与单帧分析.md	已覆盖	帧分析实践
课程记录/图形学/07-法线、光照与卡通渲染.md	知识库/04_光照模型与PBR/法线贴图、切线空间与IBL.md；知识库/04_光照模型与PBR/经典光照、BRDF与微表面模型.md；知识库/11_NPR与风格化渲染/NPR材质与分层光照.md	已覆盖	光照与 NPR
课程记录/图形学/08-PBR、光照与后处理.md	知识库/04_光照模型与PBR/PBR材质与能量守恒.md；知识库/05_光照阴影与GI/光源与直接光照.md；知识库/07_颜色与后处理/Tone Mapping、Bloom与屏幕效果.md	已覆盖	PBR 与后处理
课程记录/图形学/09-反射、后处理与抗锯齿.md	知识库/07_颜色与后处理/Tone Mapping、Bloom与屏幕效果.md；知识库/02_GPU与光栅化管线/抗锯齿与时域采样.md	已覆盖	反射与抗锯齿
课程记录/图形学/10-性能优化与AIGC应用.md	知识库/14_性能分析与优化/渲染优化验证与移动端实践.md；知识库/17_AIGC与Agent管线/扩散模型、条件控制与微调.md	已覆盖	性能与 AIGC
课程记录/数据结构和算法/01-算法基础与递归枚举.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	算法基础
课程记录/数据结构和算法/02-渐进分析与分治.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	复杂度与分治
课程记录/数据结构和算法/03-排序、线性结构、树图与散列.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	数据结构
课程记录/数据结构和算法/04-动态规划与贪心.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	算法设计
课程记录/数据结构和算法/05-图遍历与拓扑排序.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	图算法
课程记录/数据结构和算法/06-进阶图算法与最短路径.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	最短路径
课程记录/数据结构和算法/07-BST、LCS、A星与KMP.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	综合算法
课程记录/数据结构和算法/08-游戏开发算法练习.md	知识库/16_编程与数据结构/算法设计、树、图与空间划分.md；知识库/01_数学与采样/向量、矩阵与空间变换.md	已覆盖	游戏开发算法练习
课程记录/C++基础/01-核心语法、指针与引用.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md；知识库/16_编程与数据结构/内存、对象生命周期与对象池.md	已覆盖	C++ 语法与指针
课程记录/C++基础/02-标准库容器与算法.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md；知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	标准库
课程记录/C++基础/03-面向对象与内存结构.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md；知识库/16_编程与数据结构/内存、对象生命周期与对象池.md	已覆盖	对象模型
课程记录/C++基础/04-继承、多态与模板.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md	已覆盖	泛型与多态
课程记录/C++基础/05-存储层级与缓存.md	知识库/16_编程与数据结构/内存、对象生命周期与对象池.md；知识库/16_编程与数据结构/操作系统、进程与并发基础.md	已覆盖	缓存、虚拟内存与局部性
课程记录/C++基础/06-汇编、编译与链接.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md；知识库/16_编程与数据结构/内存、对象生命周期与对象池.md；知识库/16_编程与数据结构/操作系统、进程与并发基础.md	已覆盖	编译、进程地址空间与底层执行
课程记录/C++基础/07-标准库接口速查.md	知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md；知识库/16_编程与数据结构/算法设计、树、图与空间划分.md	已覆盖	标准库接口
课程记录/编辑器设计/01-Agent工作流与序列化.md	知识库/17_AIGC与Agent管线/Agent驱动资产管线与质量门禁.md；知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	Agent 与序列化
课程记录/编辑器设计/02-属性绘制、事务与运行时编辑.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	编辑器事务
课程记录/编辑器设计/03-地图编辑器MVP与调试.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	地图编辑器
课程记录/编辑器设计/04-编辑器交互与关卡组件.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	交互与组件
课程记录/编辑器设计/05-选择、吸附与视差层级.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	编辑器交互
课程记录/游戏AI/01-AI架构与工程实践.md	知识库/20_游戏AI/行为树、效用与规划.md；知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	AI 架构
课程记录/游戏AI/02-AI架构与核心模式.md	知识库/20_游戏AI/行为树、效用与规划.md	已覆盖	AI 模式
课程记录/游戏AI/03-行为树、效用与GOAP.md	知识库/20_游戏AI/行为树、效用与规划.md	已覆盖	行为与规划
课程记录/游戏AI/04-场景抽象、寻路与LLM.md	知识库/20_游戏AI/导航、寻路与移动控制.md；知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	寻路与 LLM
课程记录/游戏网络/01-局域网与Mirror.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	联机基础
课程记录/游戏网络/02-计算机网络与游戏开发.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	网络原理
课程记录/游戏网络/03-MVC与传输层协议.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	传输协议
课程记录/游戏网络/04-状态同步、帧同步与服务器.md	知识库/21_游戏网络/状态同步、预测与回滚.md；知识库/21_游戏网络/服务器架构、分区与反作弊.md	已覆盖	同步与服务器
课程记录/ACT/01-游戏程序五层架构.md	知识库/19_Gameplay与游戏框架/输入、动作状态与框架分层.md	已覆盖	框架分层
课程记录/ACT/02-输入层设计.md	知识库/19_Gameplay与游戏框架/输入、动作状态与框架分层.md	已覆盖	输入系统
课程记录/ACT/03-请求层、行为层与系统集成.md	知识库/19_Gameplay与游戏框架/输入、动作状态与框架分层.md	已覆盖	请求与行为
课程记录/ACT/04-动作状态机与移动解耦.md	知识库/19_Gameplay与游戏框架/输入、动作状态与框架分层.md	已覆盖	状态与移动
课程记录/ACT/05-框架优化、剧情编辑器与状态机.md	知识库/19_Gameplay与游戏框架/输入、动作状态与框架分层.md；知识库/15_资产与工具管线/编辑器工具与批处理架构.md	已覆盖	框架与编辑器
