"source_path"	"line"	"level"	"heading"
"课程记录\ACT\02-输入层设计.md"	"95"	"3"	"3. 数据驱动的生产力解放"
"课程记录\ACT\02-输入层设计.md"	"102"	"2"	"五、 Q&A 互动精华整理"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"1"	"1"	"动作游戏框架设计（第三课）：请求层、行为层与系统集成"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"5"	"2"	"一、 核心知识点与原理剖析"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"7"	"3"	"1. 请求层（Request Layer）深度解析"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"21"	"3"	"2. 行为层（Behavior Layer）与状态管理"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"32"	"3"	"3. 系统集成：Agent 与 PlayerBase"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"41"	"3"	"4. 关键技术：基于反射的实例初始化"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"49"	"2"	"二、 重点术语与概念解析"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"58"	"2"	"三、 工程经验与避坑指南"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"60"	"3"	"1. 开发经验与架构建议"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"67"	"3"	"2. 避坑指南"
"课程记录\ACT\03-请求层、行为层与系统集成.md"	"72"	"3"	"3. 职业发展建议（Q&A）"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"1"	"1"	"游戏框架实现：从动作状态机到移动逻辑的解耦与落地"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"3"	"2"	"一、 核心知识点与原理剖析"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"5"	"3"	"1. 架构调整：移动逻辑与动作状态机的分离"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"10"	"3"	"2. 移动基类（MovementBase）的核心组成"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"22"	"3"	"3. 请求-行为（Request-Behavior）流转逻辑"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"31"	"3"	"4. 物理逻辑：跳跃速度公式"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"38"	"2"	"二、 重点术语与概念解析"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"50"	"2"	"三、 工程经验与避坑指南"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"52"	"3"	"1. 任务取消机制（Cancel Request）"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"56"	"3"	"2. 代码的可读性与“炫技”"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"60"	"3"	"3. 性能优化：GC 与装箱"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"64"	"3"	"4. 调试技巧：埋点与日志"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"69"	"2"	"四、 关键实现细节（代码逻辑速查）"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"71"	"3"	"状态跳转条件判断"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"81"	"3"	"移动向量投影（相机空间）"
"课程记录\ACT\04-动作状态机与移动解耦.md"	"90"	"3"	"框架初始化顺序"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"1"	"1"	"ACT框架优化、剧情编辑器设计与通用状态机实现"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"3"	"2"	"一、 核心知识点与原理剖析"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"5"	"3"	"1. 现存框架Bug修复"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"24"	"3"	"2. 框架架构逻辑复盘"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"32"	"3"	"3. 剧情编辑器 (Plot Editor) 设计方案"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"44"	"3"	"4. 通用状态机 (State Machine) 实现"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"63"	"2"	"二、 重点术语与概念解析"
"课程记录\ACT\05-框架优化、剧情编辑器与状态机.md"	"73"	"2"	"三、 工程经验与避坑指南"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"1"	"1"	"C++ 基础概念与核心语法 (第一节课笔记)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"3"	"2"	"📌 课程基本信息与作业"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"10"	"2"	"1. C++ 与 C# 的核心区别"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"28"	"2"	"2. 认识第一个 C++ 程序"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"50"	"2"	"3. 文件结构与预处理机制"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"52"	"3"	"头文件 (`.h`) 与源文件 (`.cpp`)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"63"	"3"	"命名空间 (Namespace)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"69"	"3"	"宏定义 (`#define`)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"82"	"2"	"4. 核心声明与定义关键字"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"97"	"2"	"5. 内存管理：堆 (Heap) 与栈 (Stack)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"115"	"2"	"6. 核心难点：指针 (Pointer) 与引用 (Reference)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"117"	"3"	"原始指针"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"127"	"3"	"智能指针 (C++11 新特性)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"134"	"3"	"左值引用 (`&`) 与右值引用 (`&&`)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"150"	"2"	"7. 运算符与控制流"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"163"	"2"	"8. Lambda 表达式 (匿名函数)"
"课程记录\C++基础\01-核心语法、指针与引用.md"	"178"	"2"	"📚 拓展学习建议"
"课程记录\C++基础\02-标准库容器与算法.md"	"1"	"1"	"C++ 标准库与核心算法 (第二节课笔记)"
"课程记录\C++基础\02-标准库容器与算法.md"	"3"	"2"	"📌 课程核心目标"
"课程记录\C++基础\02-标准库容器与算法.md"	"9"	"2"	"1. 标准输入输出流 (`<iostream>`)"
"课程记录\C++基础\02-标准库容器与算法.md"	"28"	"2"	"2. 文件读写流 (`<fstream>`)"
"课程记录\C++基础\02-标准库容器与算法.md"	"46"	"2"	"3. 标准模板库 (STL) - 核心容器"
"课程记录\C++基础\02-标准库容器与算法.md"	"50"	"3"	"3.1 顺序容器 (Sequence Containers)"
"课程记录\C++基础\02-标准库容器与算法.md"	"65"	"3"	"3.2 关联容器 (Associative Containers)"
"课程记录\C++基础\02-标准库容器与算法.md"	"87"	"3"	"3.3 容器适配器 (Container Adapters)"
"课程记录\C++基础\02-标准库容器与算法.md"	"102"	"3"	"3.4 容器通用遍历法 (迭代器 & C++11 语法)"
"课程记录\C++基础\02-标准库容器与算法.md"	"125"	"2"	"4. 通用算法库 (`<algorithm>`)"
"课程记录\C++基础\02-标准库容器与算法.md"	"141"	"2"	"5. 课堂实战小拓展"
"课程记录\C++基础\03-面向对象与内存结构.md"	"1"	"1"	"C++ 面向对象编程与底层内存结构 (第三节课笔记)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"3"	"2"	"📌 课程核心目标"
"课程记录\C++基础\03-面向对象与内存结构.md"	"9"	"2"	"1. 类 (Class) 与 结构体 (Struct) 的本质"
"课程记录\C++基础\03-面向对象与内存结构.md"	"28"	"2"	"2. 规范化工程：头文件与源文件的分离"
"课程记录\C++基础\03-面向对象与内存结构.md"	"46"	"2"	"3. 核心机制：构造、析构与参数传递"
"课程记录\C++基础\03-面向对象与内存结构.md"	"48"	"3"	"构造函数 (Constructor)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"56"	"3"	"析构函数 (Destructor)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"62"	"3"	"传参优化：`const` 引用传参"
"课程记录\C++基础\03-面向对象与内存结构.md"	"73"	"2"	"4. 友元函数 (`friend`)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"81"	"2"	"5. 底层性能核武：数据对齐与极限压缩 (CG/GPU 编程必备)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"85"	"3"	"结构体内存对齐 (Memory Alignment)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"98"	"3"	"联合体 (`union`)"
"课程记录\C++基础\03-面向对象与内存结构.md"	"107"	"2"	"6. 课堂实战作业：Time 类与运算符重载"
"课程记录\C++基础\04-继承、多态与模板.md"	"1"	"1"	"C++ 面向对象进阶与泛型编程 (第四节课笔记)"
"课程记录\C++基础\04-继承、多态与模板.md"	"3"	"2"	"📌 课前复盘：Vector 自定义类实现细节"
"课程记录\C++基础\04-继承、多态与模板.md"	"18"	"2"	"1. 面向对象编程 (OOP) 核心三大特性"
"课程记录\C++基础\04-继承、多态与模板.md"	"20"	"3"	"特性一：封装 (Encapsulation)"
"课程记录\C++基础\04-继承、多态与模板.md"	"26"	"3"	"特性二：继承 (Inheritance / 派生)"
"课程记录\C++基础\04-继承、多态与模板.md"	"38"	"3"	"特性三：多态 (Polymorphism)"
"课程记录\C++基础\04-继承、多态与模板.md"	"57"	"2"	"2. 泛型编程：模板 (Template)"
"课程记录\C++基础\04-继承、多态与模板.md"	"61"	"3"	"函数模板 (Function Template)"
"课程记录\C++基础\04-继承、多态与模板.md"	"78"	"3"	"类模板 (Class Template)"
"课程记录\C++基础\04-继承、多态与模板.md"	"83"	"3"	"模板特化 (Template Specialization)"
"课程记录\C++基础\04-继承、多态与模板.md"	"91"	"2"	"3. 课堂实战与课后作业"
"课程记录\C++基础\04-继承、多态与模板.md"	"93"	"3"	"课堂实战：几何图形的抽象与多态"
"课程记录\C++基础\04-继承、多态与模板.md"	"102"	"3"	"课后作业清单"
"课程记录\C++基础\05-存储层级与缓存.md"	"1"	"1"	"C++ 底层原理与计算机存储结构 (第五节课笔记)"
"课程记录\C++基础\05-存储层级与缓存.md"	"3"	"2"	"📌 课程核心目标"
"课程记录\C++基础\05-存储层级与缓存.md"	"9"	"2"	"1. 计算机存储器金字塔 (The Memory Hierarchy)"
"课程记录\C++基础\05-存储层级与缓存.md"	"13"	"3"	"1.1 金字塔结构（从下到上）"
"课程记录\C++基础\05-存储层级与缓存.md"	"29"	"2"	"2. 核心机制：高速缓存 (Cache) 与命中 (Hit/Miss)"
"课程记录\C++基础\05-存储层级与缓存.md"	"33"	"3"	"2.1 逐层访问逻辑"
"课程记录\C++基础\05-存储层级与缓存.md"	"39"	"3"	"2.2 命中 (Hit) 与 不命中 (Miss)"
"课程记录\C++基础\05-存储层级与缓存.md"	"45"	"3"	"2.3 Cache 的底层结构与寻址（扩展概念）"
"课程记录\C++基础\05-存储层级与缓存.md"	"54"	"3"	"2.4 Cache 的三种映射方式（硬件概念）"
"课程记录\C++基础\05-存储层级与缓存.md"	"60"	"3"	"2.5 缓存替换策略与写策略"
"课程记录\C++基础\05-存储层级与缓存.md"	"77"	"2"	"3. 寄存器 (Registers) 简介"
"课程记录\C++基础\05-存储层级与缓存.md"	"91"	"2"	"4. 终极实战：编写“缓存友好”的代码 (Cache-Friendly Code)"
"课程记录\C++基础\05-存储层级与缓存.md"	"95"	"3"	"4.1 空间局部性 (Spatial Locality)"
"课程记录\C++基础\05-存储层级与缓存.md"	"104"	"3"	"4.2 时间局部性 (Temporal Locality)"
"课程记录\C++基础\05-存储层级与缓存.md"	"113"	"3"	"4.3 整体架构优化"
"课程记录\C++基础\05-存储层级与缓存.md"	"119"	"2"	"📚 讲师强推：进阶必读书目"
"课程记录\C++基础\06-汇编、编译与链接.md"	"1"	"1"	"C++ 汇编基础与编译链接原理 (第六节课笔记)"
"课程记录\C++基础\06-汇编、编译与链接.md"	"3"	"2"	"📌 课前复盘：模板进阶与运算符重载细节"
"课程记录\C++基础\06-汇编、编译与链接.md"	"5"	"3"	"1. 循环优化的底层细节（基于 Cache）"
"课程记录\C++基础\06-汇编、编译与链接.md"	"11"	"3"	"2. 前置 `++a` 与 后置 `a++` 的本质区别"
"课程记录\C++基础\06-汇编、编译与链接.md"	"21"	"2"	"1. 为什么高级开发者要看懂汇编 (Assembly)？"
"课程记录\C++基础\06-汇编、编译与链接.md"	"30"	"2"	"2. 汇编语言核心基础入门"
"课程记录\C++基础\06-汇编、编译与链接.md"	"34"	"3"	"2.1 汇编中的数据长度标识"
"课程记录\C++基础\06-汇编、编译与链接.md"	"40"	"3"	"2.2 四大核心指令集"
"课程记录\C++基础\06-汇编、编译与链接.md"	"62"	"2"	"3. 内存寻址模式与函数堆栈 (Stack)"
"课程记录\C++基础\06-汇编、编译与链接.md"	"64"	"3"	"3.1 内存寻址的 5 种姿势"
"课程记录\C++基础\06-汇编、编译与链接.md"	"74"	"3"	"3.2 函数调用的底层真相：压栈 (`push`) 与 出栈 (`pop`)"
"课程记录\C++基础\06-汇编、编译与链接.md"	"88"	"2"	"4. 程序的最终成型：编译与链接 (Linking)"
"课程记录\C++基础\06-汇编、编译与链接.md"	"92"	"3"	"4.1 链接器 (Linker) 的工作"
"课程记录\C++基础\06-汇编、编译与链接.md"	"97"	"3"	"4.2 静态链接 vs 动态链接"
"课程记录\C++基础\06-汇编、编译与链接.md"	"112"	"3"	"4.3 符号表 (Symbol Table) 与排错 (Debugging)"
"课程记录\C++基础\06-汇编、编译与链接.md"	"119"	"2"	"📚 讲师的终极推荐"
"课程记录\C++基础\07-标准库接口速查.md"	"1"	"1"	"C++ 标准库常用数据结构接口速查"
"课程记录\C++基础\07-标准库接口速查.md"	"3"	"2"	"1. 顺序容器"
"课程记录\C++基础\07-标准库接口速查.md"	"5"	"3"	"1.1 vector 动态数组"
"课程记录\C++基础\07-标准库接口速查.md"	"28"	"3"	"1.2 deque 双端队列"
"课程记录\C++基础\07-标准库接口速查.md"	"47"	"3"	"1.3 list 双向链表"
"课程记录\C++基础\07-标准库接口速查.md"	"70"	"3"	"1.4 array 固定大小数组"
"课程记录\C++基础\07-标准库接口速查.md"	"87"	"2"	"2. 容器适配器"
"课程记录\C++基础\07-标准库接口速查.md"	"89"	"3"	"2.1 stack 栈"
"课程记录\C++基础\07-标准库接口速查.md"	"103"	"3"	"2.2 queue 队列"
"课程记录\C++基础\07-标准库接口速查.md"	"117"	"3"	"2.3 priority_queue 优先队列"
"课程记录\C++基础\07-标准库接口速查.md"	"133"	"2"	"3. 关联容器"
"课程记录\C++基础\07-标准库接口速查.md"	"135"	"3"	"3.1 set 有序集合"
"课程记录\C++基础\07-标准库接口速查.md"	"154"	"3"	"3.2 multiset 有序多重集合"
"课程记录\C++基础\07-标准库接口速查.md"	"172"	"3"	"3.3 map 有序映射"
"课程记录\C++基础\07-标准库接口速查.md"	"191"	"3"	"3.4 multimap 有序多重映射"
"课程记录\C++基础\07-标准库接口速查.md"	"212"	"2"	"4. 无序容器"
"课程记录\C++基础\07-标准库接口速查.md"	"214"	"3"	"4.1 unordered_set 哈希集合"
"课程记录\C++基础\07-标准库接口速查.md"	"233"	"3"	"4.2 unordered_multiset 哈希多重集合"
"课程记录\C++基础\07-标准库接口速查.md"	"250"	"3"	"4.3 unordered_map 哈希映射"
"课程记录\C++基础\07-标准库接口速查.md"	"273"	"3"	"4.4 unordered_multimap 哈希多重映射"
"课程记录\C++基础\07-标准库接口速查.md"	"292"	"2"	"5. 通用操作速查表"
"课程记录\C++基础\07-标准库接口速查.md"	"307"	"2"	"6. 注意事项"
"课程记录\Games104\02-引擎架构分层.md"	"1"	"1"	"游戏引擎架构分层：资源层、功能层与工具层"
"课程记录\Games104\02-引擎架构分层.md"	"7"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\02-引擎架构分层.md"	"9"	"3"	"1. 游戏引擎的三大层次"
"课程记录\Games104\02-引擎架构分层.md"	"14"	"3"	"2. Tick 机制：游戏世界的""永动机"""
"课程记录\Games104\02-引擎架构分层.md"	"19"	"3"	"3. 核心层的数学与数据结构基础"
"课程记录\Games104\02-引擎架构分层.md"	"24"	"3"	"4. 引擎的两大组成块"
"课程记录\Games104\02-引擎架构分层.md"	"29"	"3"	"5. ECS 架构示例（Pilot 项目）"
"课程记录\Games104\02-引擎架构分层.md"	"35"	"2"	"二、 重点术语与概念解析"
"课程记录\Games104\02-引擎架构分层.md"	"37"	"3"	"1. Tick"
"课程记录\Games104\02-引擎架构分层.md"	"40"	"3"	"2. SIMD（Single Instruction Multiple Data）"
"课程记录\Games104\02-引擎架构分层.md"	"44"	"3"	"3. ECS（Entity-Component-System）"
"课程记录\Games104\02-引擎架构分层.md"	"47"	"3"	"4. 资源层 / 功能层 / 工具层"
"课程记录\Games104\02-引擎架构分层.md"	"52"	"2"	"三、 工程经验与避坑指南"
"课程记录\Games104\02-引擎架构分层.md"	"54"	"3"	"1. 分层思维优先于算法实现"
"课程记录\Games104\02-引擎架构分层.md"	"58"	"3"	"2. 学习路径建议"
"课程记录\Games104\02-引擎架构分层.md"	"62"	"3"	"3. 项目实践"
"课程记录\Games104\03-游戏世界与组件系统.md"	"1"	"1"	"如何构建游戏世界：组件、Tick 与场景管理"
"课程记录\Games104\03-游戏世界与组件系统.md"	"7"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\03-游戏世界与组件系统.md"	"9"	"3"	"1. 组件的组合式设计（Component-based Design）"
"课程记录\Games104\03-游戏世界与组件系统.md"	"14"	"3"	"2. Tick 与系统更新"
"课程记录\Games104\03-游戏世界与组件系统.md"	"18"	"3"	"3. 事件驱动（Event-driven）的消息机制"
"课程记录\Games104\03-游戏世界与组件系统.md"	"23"	"3"	"4. N 平方挑战与空间划分"
"课程记录\Games104\03-游戏世界与组件系统.md"	"28"	"3"	"5. 多线程渲染与逻辑同步"
"课程记录\Games104\03-游戏世界与组件系统.md"	"32"	"3"	"6. 调试方法论"
"课程记录\Games104\03-游戏世界与组件系统.md"	"37"	"2"	"二、 重点术语与概念解析"
"课程记录\Games104\03-游戏世界与组件系统.md"	"39"	"3"	"1. Component（组件）"
"课程记录\Games104\03-游戏世界与组件系统.md"	"42"	"3"	"2. Handle（句柄）"
"课程记录\Games104\03-游戏世界与组件系统.md"	"45"	"3"	"3. Tick"
"课程记录\Games104\03-游戏世界与组件系统.md"	"48"	"3"	"4. Pipeline（流水线）"
"课程记录\Games104\03-游戏世界与组件系统.md"	"51"	"3"	"5. Event / Message（事件/消息）"
"课程记录\Games104\03-游戏世界与组件系统.md"	"54"	"3"	"6. 空间划分（Spatial Partitioning）"
"课程记录\Games104\03-游戏世界与组件系统.md"	"57"	"3"	"7. 逻辑线程 / 渲染线程"
"课程记录\Games104\03-游戏世界与组件系统.md"	"62"	"2"	"三、 工程经验与避坑指南"
"课程记录\Games104\03-游戏世界与组件系统.md"	"64"	"3"	"1. 拒绝""不管理""思维"
"课程记录\Games104\03-游戏世界与组件系统.md"	"67"	"3"	"2. 场景划分的取舍"
"课程记录\Games104\03-游戏世界与组件系统.md"	"71"	"3"	"3. 内容打磨与协作"
"课程记录\Games104\03-游戏世界与组件系统.md"	"74"	"3"	"4. 多线程同步"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"1"	"1"	"游戏引擎中的渲染实践：从光栅化到现代 GPU 架构"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"7"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"9"	"3"	"1. 渲染管线的演进与硬件驱动"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"13"	"3"	"2. 经典渲染流程：投影与光栅化"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"18"	"3"	"3. GPU 并行架构（Graphics Processing Unit）"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"24"	"3"	"4. 场景对象与渲染数据组织"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"30"	"3"	"5. 场景管理：坐标系、可见性与碰撞"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"36"	"3"	"6. 现代 GPU 特性：Mesh Shader"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"40"	"3"	"7. 引擎编辑器实践"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"48"	"2"	"二、 重点术语与概念解析"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"50"	"3"	"1. 投影（Projection）"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"53"	"3"	"2. 光栅化（Rasterization）"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"56"	"3"	"3. GPU / CUDA Core"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"59"	"3"	"4. Cache（缓存）"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"62"	"3"	"5. Mesh / Vertex / Texture"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"65"	"3"	"6. PBR（Physically Based Rendering）"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"68"	"3"	"7. 凸包（Convex Hull）"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"71"	"3"	"8. Mesh Shader / Amplification Shader"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"76"	"2"	"三、 工程经验与避坑指南"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"78"	"3"	"1. 缓存友好的数据处理"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"81"	"3"	"2. 减少无效绘制"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"84"	"3"	"3. 顶点数据与资源复用"
"课程记录\Games104\04-渲染管线与GPU架构.md"	"87"	"3"	"4. 编辑器工作流"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"1"	"1"	"渲染中光和材质的数学魔法：渲染方程、球谐函数与软阴影"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"7"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"9"	"3"	"1. 渲染方程与挑战"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"13"	"3"	"2. 材质模型"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"18"	"3"	"3. 预计算与全局光照"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"22"	"3"	"4. 球谐函数（Spherical Harmonics, SH）"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"28"	"3"	"5. 阴影技术：Shadow Map 与 PCSS"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"34"	"3"	"6. 法线分布与反射系数"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"38"	"3"	"7. 材质模型的实践选择"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"42"	"3"	"8. 渲染工程化"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"48"	"2"	"二、 重点术语与概念解析"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"50"	"3"	"1. BRDF（Bidirectional Reflectance Distribution Function）"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"53"	"3"	"2. Blinn-Phong 模型"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"56"	"3"	"3. 渲染方程（Rendering Equation）"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"59"	"3"	"4. 球谐函数（Spherical Harmonics, SH）"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"62"	"3"	"5. Shadow Map / PCF / PCSS"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"65"	"3"	"6. 预计算（Pre-computation）"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"68"	"3"	"7. 菲涅尔效应（Fresnel Effect）"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"71"	"3"	"8. HLSL / GLSL"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"76"	"2"	"三、 工程经验与避坑指南"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"78"	"3"	"1. 空间换时间的工程哲学"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"81"	"3"	"2. 软阴影的工程选择"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"84"	"3"	"3. 材质模型实现细节"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"87"	"3"	"4. 跨平台 Shader 管理"
"课程记录\Games104\05-渲染方程、球谐与软阴影.md"	"90"	"3"	"5. 关注前沿方向"
"课程记录\Games104\06-地形、大气与体积云.md"	"1"	"1"	"地形、大气与云的实时渲染技术：大气散射、预计算天空与体积云"
"课程记录\Games104\06-地形、大气与体积云.md"	"5"	"2"	"一、 核心知识点与原理剖析"
