"source_path"	"slide"	"title"	"text_preview"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"18"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | - | 创建并显示窗口"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"19"	"二、窗口与消息"	"二、窗口与消息 | - | 消息与消息队列 | 面临的问题 | 事件驱动编程： | 在GUI出现之前，大多数程序是命令行驱动的，用户交互相对简单。GUI引入了复杂的用户交互，如点击、拖动、滚动等，这需要程序能够"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"20"	"二、窗口与消息"	"二、窗口与消息 | - | 消息与消息队列 | 消息（Message） | 概念：消息是Windows操作系统用于传递信息（如 | 用户交互"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"21"	"二、窗口与消息"	"二、窗口与消息 | - | 阻塞式消息循环 | GetMessage | ：这个函数从当前线程的 | 消息队列"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"22"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | WindowProc： | 这个函数是之前在创建窗口类时声明的，这里我们给出它的定义，它会用于处理窗口接收到的消息。 | 它接收四个参数：消息所针对的"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"23"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 关闭窗口："
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"24"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 确认对话框："
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"25"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 大小变化"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"26"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 键盘输入："
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"27"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 键盘输入"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"28"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 键盘输入"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"29"	"二、窗口与消息"	"二、窗口与消息 | - | 消息处理函数 | 消息处理 | - | 鼠标"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"30"	"三、"	"三、 | COM- | 组件与对象模型 | COM面对的历史问题 | 代码重用难度： | 在COM之前，代码重用通常意味着一段代码到处编译，这导致了版本一致性问题，"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"31"	"三、"	"三、 | COM- | 组件与对象模型 | COM接口 | 概念：COM接口是一组相关函数的集合，定义了可由COM对象提供的操作。 | 本质上是"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"32"	"三、"	"三、 | COM- | 组件与对象模型 | COM类 | 概念：COM类是实现了一个或多个COM接口的具体代码。存在于 | COM"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"33"	"三、"	"三、 | COM- | 组件与对象模型 | COM对象 | 概念：COM对象是实现了一个或多个COM接口的 | 实例"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"34"	"三、"	"三、 | COM- | 组件与对象模型 | COM客户端 | 概念：COM客户端是使用COM对象的应用程序或组件。客户端通过COM接口与COM对象交互。 | 功能"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"35"	"三、"	"三、 | COM- | 组件与对象模型 | - | 初始化 | 在我们使用所有"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"36"	"三、"	"三、 | COM- | 组件与对象模型 | - | 创建 | “"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"37"	"三、"	"三、 | COM- | 组件与对象模型 | - | 创建 | “"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"38"	"三、"	"三、 | COM- | 组件与对象模型 | - | 创建 | “"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"39"	"三、"	"三、 | COM- | 组件与对象模型 | - | 创建 | “"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"40"	"三、"	"三、 | COM- | 组件与对象模型 | - | WINDOWS | 系统提供的"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"1"	"游戏图形工程"	"游戏图形工程 | 修改光照模型与 | NPR | 讲述人： | BolanT"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"2"	"一、表面着色光照模型"	"一、表面着色光照模型 | - | 前向着色 | UnityPBSLighting.cginc | Unity | 内部实现，可参考"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"3"	"一、表面着色光照模型"	"一、表面着色光照模型 | - | 延迟着色 | 返回值为自发光 | DiffuseOcclution | 的"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"4"	"二、"	"二、 | NPR | 色调分离 | - | 对光源 | Diffuse"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"5"	"二、"	"二、 | NPR | 色调分离 | - | 对 | Indirect"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"6"	"二、"	"二、 | NPR | 色调分离 | - | 对光源 | Specular"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"7"	"二、"	"二、 | NPR | 色调分离 | - | 对 | Indirect"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"8"	"二、"	"二、 | NPR | 色调分离 | - | 对软阴影进行色调分离 | (Posterize)"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"9"	"二、"	"二、 | NPR | 色调分离 | - | 防止光源因距离衰减出现软边"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"10"	"三、"	"三、 | NPR | 描边 | - | 边缘的类型 | B"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"11"	"三、"	"三、 | NPR | 描边 | - | 轮廓边缘 | ContourEdge-"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"12"	"三、"	"三、 | NPR | 描边 | - | 轮廓边缘 | ContourEdge-"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"13"	"三、"	"三、 | NPR | 描边 | - | 轮廓边缘 | ContourEdge-"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"14"	"三、"	"三、 | NPR | 描边 | - | 轮廓边缘 | ContourEdge-"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"15"	"三、"	"三、 | NPR | 描边 | - | 从 | StandardShader"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"16"	"三、"	"三、 | NPR- | 色调分离 | NPR | 结果"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"17"	"四、"	"四、 | ASE | 修改光照模型 | -MultiPassUnlit"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"18"	"五、"	"五、 | NPR- | 屏幕空间手绘纹理"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"19"	"五、"	"五、 | NPR- | 屏幕空间手绘纹理 | 淋浴⻔效应（shower door effect），这种效应指的是在镜头 | / | 物体"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"20"	"五、"	"五、 | NPR- | 三向采样 | 手绘纹理"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"21"	"五、"	"五、 | NPR- | 增加描边 | 手动在 | ASE | 编译产生的明文"
"图形工程\文字记录\游戏图形工程10-修改光照模型与NPR.pptx"	"22"	"五、"	"五、 | NPR- | 结果"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"1"	"游戏图形工程"	"游戏图形工程 | 后处理 | 与 | NPR | 讲述人： | BolanT"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"2"	"一、内置管线添加"	"一、内置管线添加 | 后处理"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"3"	"一、内置管线添加"	"一、内置管线添加 | 后处理 | - | 获取法线与深度纹理"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"4"	"二、折痕边缘"	"二、折痕边缘 | CreaseEdge- | 全屏视图空间法线"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"5"	"二、折痕边缘"	"二、折痕边缘 | CreaseEdge- | 纹理空间相邻像素 | UV"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"6"	"二、折痕边缘"	"二、折痕边缘 | CreaseEdge- | 点积计算夹角"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"7"	"二、折痕边缘"	"二、折痕边缘 | CreaseEdge-dx | 、 | dy | 结果 | 合并、"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"8"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 全屏深度"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"9"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 屏幕空间相邻像素"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"10"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 屏幕空间相邻像素线性深度差"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"11"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 屏幕空间相邻像素透视深度差"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"12"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 平面判断 | 屏幕空间"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"13"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge-RemapX | 轴线性深度差"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"14"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 非平面 | RemapX"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"15"	"二、边界边缘"	"二、边界边缘 | BorderEdge | 轮廓边缘 | ContourEdge- | 深度边缘"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"16"	"三、边缘混合"	"三、边缘混合 | - | 复合边缘"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"17"	"三、边缘混合"	"三、边缘混合 | - | 将边缘渲染到独立 | RT"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"18"	"三、边缘混合"	"三、边缘混合 | - | 混合两个 | RT"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"19"	"三、边缘混合"	"三、边缘混合"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"20"	"四、高斯滤波"	"四、高斯滤波 | 滤波是一种常见的图像处理操作，旨在修改图像的外观或特性。滤波可以是去除噪声（低通滤波）、强调边缘（高通滤波）、或者实现图形效果（如模糊）。滤波操作通常通过与核函数进行卷积来实现，核函数定义了滤波的特性和效果。 | 滤波 | 卷积 | 卷积是一种数学工具，它在图像处理中的作用是将一个称为“卷积核”或“滤波器”的小矩阵应用于图像的每一个像素。这个卷积核有固定的宽度和高度，通常是3x3、5x5等大小，并且每个位置上都有一个特定的权重。 | 按照具体卷积核"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"21"	"四、高斯滤波"	"四、高斯滤波 | 一维高斯核函数 | 二维高斯核函数 | 以下是一些示例 | 大小为 5 的一维高斯核 | (σ=0.67)"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"22"	"四、高斯滤波"	"四、高斯滤波 | - | 高斯核的计算 | 核的大小可以通过 6σ 计算得到，因为高斯函数的 99% 能量集中在中心 μ±3σ 范围内。为了简化实际应用，核的大小应该是一个奇数，以确保有一个中心像素点。 | 高斯核是可分离的， | 二维高斯函数可以表示为两个一维高斯函数的乘积。"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"23"	"四、高斯滤波"	"四、高斯滤波 | - | 实现 | 以下是一个 | 5x5 | 高斯滤波器的"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"24"	"四、高斯滤波"	"四、高斯滤波 | - | 实现 | 5x5 | 高斯滤波器的水平部分的 | ASE"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"25"	"四、高斯滤波"	"四、高斯滤波 | - | 实现 | 对应的 | C# | 后处理代码"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"26"	"五、水彩"	"五、水彩 | - | 高斯差分 | 高斯差分（ | D | ifference of"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"27"	"五、水彩"	"五、水彩 | - | 将高斯差分结果与调色过的原图进行混合"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"28"	"五、水彩"	"五、水彩 | -UV | 扰动"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"29"	"五、水彩"	"五、水彩 | - | 模拟水彩分散导致的褪色"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"30"	"五、水彩"	"五、水彩 | - | 纸张混合 | Interactive watercolor rendering with temporal coherence and abstraction | 其中C是原始颜色值，d是noise贴图颜色值。通过这个公式和一张noise图，即可获得不同的纸张效果"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"31"	"五、水彩"	"五、水彩 | - | 纸张混合"
"图形工程\文字记录\游戏图形工程11-后处理与NPR.pptx"	"32"	"五、水彩"	"五、水彩 | - | 前置后处理 | AO | 与描边 | 除了高斯差分，还可以替换很多其它滤波器以达成油画、水墨、铅笔画等效果。"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"1"	"游戏图形工程进阶"	"游戏图形工程进阶 | 大气散射 | 讲述人： | BolanT"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"2"	"一、什么是大气散射"	"一、什么是大气散射 | 自然的蓝天、夕阳、黄昏 | 远景空中透视（山体泛蓝） | 太阳周围的光晕、天顶变暗等细节"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"3"	"二、瑞利散射与米氏散射如何形成大气散射效果"	"二、瑞利散射与米氏散射如何形成大气散射效果 | 引用 | https://hyperphysics.phy-astr.gsu.edu/hbase/atmos/blusky.html | https://www.scratchapixel.com/lessons/procedural-generation-virtual-worlds/simulating-sky/simulating-colors-of-the-sky.html | 在高空，散射主要由瑞利 | (Rayleigh)"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"4"	"三、散射模型"	"三、散射模型 | 吸收 | (Absorption) | 自发光 | (Emission) | 外散射"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"5"	"四、大气密度：尺度高度模型"	"四、大气密度：尺度高度模型 | 散射介质的 | 消光系数与散射介质的密度成正比 | 。因此我们需要大气密度的模型。 | 大气是由气体组成的，大气密度是描述气体分子数目在单位体积内的分布情况。随着高度的增加，由于大气压力逐渐减小，分子之间的相对距离增加，导致密度逐渐降低。 | 在此模型中，我们假设"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"6"	"五、单次散射模型"	"五、单次散射模型 | 在忽略多次散射时，视线方向收到的辐射度可写为： | Tv​ | ：从相机到当前点的透过率 | σs | ：当前点的散射系数（"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"7"	"六、"	"六、 | Transmittance LUT | 对于上一页中，在计算时最昂贵的太阳透过率 | Ts | ，我们可以用一张二维图片预计算 | 第一个维度是光照采样点"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"8"	"七、"	"七、 | Transmittance LUT | 的预计算 | 补充内容 | 瑞利散射吸收系数为 | 0"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"9"	"八、"	"八、 | Transmittance LUT | 的 | UV | 到 | rμ"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"10"	"九、相位函数"	"九、相位函数 | 常规能搜到的瑞利散射的相位函数将散射系数包含在其内，而我们的模型已经将散射系数单独提取出来了，散射系数如何计算在此不表 | 以下是提取后的瑞利散射相函数， | θ | 是入射光与出射 | 光"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"11"	"十、核心后处理着色器"	"十、核心后处理着色器 | 使用一个在 | Opaque | 绘制完成后， | Transparent | 绘制前，的全屏后处理来步进并计算大气散射"
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"12"	"十一、补充大气散射功能"	"十一、补充大气散射功能 | 太阳盘与其软边缘 | 采样场景主光阴影并应用到散射效果中 | 蓝噪声抖动采样 | 基于重要性采样 | ("
"图形工程\文字记录\游戏图形工程12_大气散射.pptx"	"13"	"十二、基于重要性采样"	"十二、基于重要性采样 | ( | 逆变换采样 | ) | 的步长优化的数学推导 | 希望从近到远的采样重要性"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"1"	"游戏图形工程"	"游戏图形工程 | 第二节 | Direct3D11 | 基础 | 讲述人： | BolanT"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"2"	"图形数据概述"	"图形数据概述"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"3"	"一、"	"一、 | 图形数据概述 | - | 顶点 | NDC( | 标准化设备坐标"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"4"	"一、"	"一、 | 图形数据概述 | - | 图元 | NDC | 下的一个三角形图元"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"5"	"一、图形数据概述"	"一、图形数据概述 | - | 光栅化 | 三角形图元光栅化 | 线图元光栅化 | 点图元光栅化"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"6"	"一、"	"一、 | 图形数据概述 | - | 片元 | 第一个三角形图元的七个片元 | 第二个三角形图元的四个片元"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"7"	"一、"	"一、 | 图形数据概述 | - | 像素 | 不进行测试与混合 | 深度测试"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"8"	"图形管道概述"	"图形管道概述"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"9"	"二、"	"二、 | 图形管道概述 | - | 图形管道总览"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"10"	"二、"	"二、 | 图形管道概述 | - | 输入装配器 | IA | (Input-Assembler)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"11"	"二、"	"二、 | 图形管道概述 | - | 输入装配器 | IA | (Input-Assembler)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"12"	"二、"	"二、 | 图形管道概述 | - | 顶点着色器 | VS | (Vertex-Shader)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"13"	"二、"	"二、 | 图形管道概述 | - | 顶点着色器 | VS | (Vertex-Shader)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"14"	"二、"	"二、 | 图形管道概述 | - | 光栅器 | RS | (Rasterizer)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"15"	"二、"	"二、 | 图形管道概述 | - | 光栅器 | RS | (Rasterizer)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"16"	"二、"	"二、 | 图形管道概述 | - | 片元着色器 | PS | (Pixel-Shader)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"17"	"二、"	"二、 | 图形管道概述 | - | 片元着色器 | PS | (Pixel-Shader)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"18"	"二、"	"二、 | 图形管道概述 | - | 输出合并器 | OM | (Output-Merger)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"19"	"图形设备"	"图形设备"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"20"	"三、"	"三、 | 图形设备 | - | 总览"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"21"	"三、"	"三、 | 图形设备 | -DXGI | DXGI | 的概念 | 因为一部分图形"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"22"	"三、"	"三、 | 图形设备 | -DXGI | 工厂 | 概念 | DXGI工厂（IDXGIFactory）是一个用于生成其他DXGI对象的工厂类。它提供了一组方法，用于枚举适配器（显卡）、监视器，以及创建图形设备和交换链。"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"23"	"三、"	"三、 | 图形设备 | -DXGI | 显示适配器 | 概念 | DXGI显示适配器"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"24"	"三、"	"三、 | 图形设备 | - | 处理 | COM | 错误"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"25"	"三、"	"三、 | 图形设备 | - | D3D11 | 设备 | 概念"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"26"	"三、"	"三、 | 图形设备 | - | D3D11 | 设备上下文 | 概念"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"27"	"三、"	"三、 | 图形设备 | - | DXGI | 交换链 | 概念"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"28"	"图形资源"	"图形资源"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"29"	"三、"	"三、 | 图形资源 | -2D | 纹理 | Texture2D | 概念"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"30"	"三、"	"三、 | 图形资源 | - | 缓冲区 | Buffer | 概念"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"31"	"三、"	"三、 | 图形资源 | - | 顶点 | 缓冲区 | Buffer"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"32"	"图形着色器"	"图形着色器"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"33"	"四、"	"四、 | 图形着色器 | - | 顶点着色器 | - | 编译与创建资源"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"34"	"四、"	"四、 | 图形着色器 | - | 顶点着色器 | - | 输入布局"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"35"	"四、"	"四、 | 图形着色器 | - | 顶点着色器 | - | 输入语义"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"36"	"四、"	"四、 | 图形着色器 | - | 片元着色器 | 片元着色器与顶点着色器类似，也需要 | 先从字符串被编译为二进制代码，再从二进制代码创建成着色器资源。"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"37"	"图形管线"	"图形管线"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"38"	"五、"	"五、 | 图形管线 | - | 总览"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"39"	"五、"	"五、 | 图形管线 | - | 初始化 | ( | 创建设备"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"40"	"五、"	"五、 | 图形管线 | - | 加载资源 | ( | 创建资源、着色器"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"41"	"五、"	"五、 | 图形管线 | - | 设置渲染目标与 | ViewPort | (SetCamera)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"42"	"五、"	"五、 | 图形管线 | - | 设置渲染目标与 | ViewPort(SetCamera) | 设备上下文中包含所有控制图形管道的"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"43"	"五、"	"五、 | 图形管线 | - | 设置管道状态 | (SetPipelineState) | IASetInputLayout"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"44"	"五、"	"五、 | 图形管线 | - | 设置网格 | SetMesh | 与"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"45"	"五、"	"五、 | 图形管线 | - | 交换链呈现到窗口 | (Present)"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"46"	"五、"	"五、 | 图形管线 | - | 卸载 | 资源 | 在退出前还是要记得清理对象。"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"47"	"简单封装图形对象"	"简单封装图形对象"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"48"	"六、"	"六、 | 简单 | 封装图形对象 | -Devices"
"图形工程\文字记录\游戏图形工程2-DirectX11基础.pptx"	"49"	"六、"	"六、 | 简单 | 封装图形对象 | -Camera"
